url,user_name,followers,post,following
https://www.instagram.com/peaky.imperial/,peaky.imperial,12.7k followers,99 posts,1 following
,,,,
https://www.instagram.com/ayurved_nushkhe/,ayurved_nushkhe,152k followers,"1,640 posts",212 following
,,,,
https://www.instagram.com/i_m_scooby_14_2_21/,i_m_scooby_14_2_21,"7,639 followers",228 posts,9 following
,,,,
https://www.instagram.com/kajal1_soni_/,kajal1_soni_,"8,767 followers",98 posts,"7,136 following"
,,,,
https://www.instagram.com/laddi_creation/,,43.6k followers,348 posts,22 following
,,,,
https://www.instagram.com/peaky.royals/,,12.1k followers,60 posts,4 following
,,,,
https://www.instagram.com/healthsolutions.in/,healthsolutions.in,138k followers,"1,035 posts",3 following
,,,,
https://www.instagram.com/health_counter/,health_counter,110k followers,736 posts,
,,,,
https://www.instagram.com/peaky.blame/,peaky.blame,928 followers,43 posts,19 following
,,,,
https://www.instagram.com/sigarro.muz/,sigarro.muz,"2,610 followers",105 posts,16 following
,,,,
https://www.instagram.com/p/CUmE109g1z8/,samantharuthprabhu_supporters,samantharuthprabhu_supporters,,
,,,,
https://www.instagram.com/p/CUmzbTKo0Dt/,,poverman.yt,,
